scientific_name,Bryce National Park,Great Smoky Mountains National Park,Yellowstone National Park,Yosemite National Park
Pseudognaphalium helleri ssp. helleri,86,39,240,176
Pseudognaphalium macounii,76,86,224,169
Pseudognaphalium obtusifolium ssp. obtusifolium,117,80,263,154
Pseudognaphalium stramineum,148,32,274,157
Pseudoroegneria spicata,134,79,257,156
Pseudostellaria jamesiana,99,44,248,125
Pseudostellaria sierrae,84,47,246,151
Pseudotaxiphyllum distichaceum,96,50,268,129
Pseudotaxiphyllum elegans,89,48,248,165
Pseudotriton,108,105,249,142
Pseudotriton montanus,112,103,241,187
Pseudotriton montanus diastictus,98,112,268,142
Pseudotriton montanus montanus,127,93,267,169
Pseudotriton ruber nitidus,82,59,250,111
Pseudotriton ruber ruber,77,43,243,183
Pseudotriton ruber schencki,93,89,282,134
Pseudotsuga menziesii var. glauca,81,78,241,152
Pseudotsuga menziesii var. menziesii,112,74,246,180
Psilocarphus brevissimus var. brevissimus,113,72,238,154
Psilocarphus oregonus,104,58,232,128
Psilocarphus tenellus var. tenellus,111,123,200,143
Psiloscops flammeolus,134,58,248,147
Ptelea trifoliata,93,44,268,154
Pteridium aquilinum,110,91,250,122
Pteridium aquilinum var. latiusculum,95,29,244,126
Pteridium aquilinum var. pseudocaudatum,146,59,229,156
Pteridium aquilinum var. pubescens,122,99,221,169
Pterigynandrum filiforme,93,97,248,125
Pterigynandrum sharpii,124,65,212,152
Pterospora andromedea,81,45,262,145
Pterostegia drymarioides,80,117,276,136
Ptilagrostis kingii,119,112,238,132
Ptilium crista-castrensis,109,109,232,112
Ptychocheilus grandis,76,102,222,186
Ptychomitrium incurvum,100,59,245,128
Puccinellia distans,64,68,246,113
Puccinellia nuttalliana,86,48,243,169
Pueraria montana var. lobata,109,85,272,125
Puma concolor,311,239,753,408
Purshia tridentata,107,92,221,164
Pycnanthemum beadlei,39,64,232,136
Pycnanthemum californicum,82,118,235,122
Pycnanthemum incanum,96,70,275,160
Pycnanthemum loomisii,100,101,242,166
Pycnanthemum montanum,75,87,247,152
Pycnanthemum muticum,90,74,223,174
Pycnanthemum pycnanthemoides,97,94,253,169
Pycnanthemum tenuifolium,97,63,252,182
Pycnanthemum virginianum,141,100,218,153
Pylaisiadelpha tenuirostris,127,35,280,128
Pylaisiella intricata,89,63,242,122
Pylaisiella polyantha,100,126,273,170
Pylaisiella selwynii,89,44,236,141
Pylodictis olivaris,89,77,236,143
Pyrocephalus rubinus,100,39,207,178
Pyrola asarifolia,74,103,239,140
Pyrola asarifolia ssp. asarifolia,77,36,257,126
Pyrola minor,118,76,252,145
Pyrola picta,83,68,265,180
Pyrrhopappus carolinianus,120,106,253,137
Pyrrocoma apargioides,88,73,232,133
Pyrrocoma integrifolia,107,92,225,150
Pyrrocoma lanceolata,102,57,220,171
Pyrrocoma uniflora,93,85,252,144
Pyrularia pubera,132,99,251,162
Pyrus,129,77,220,125
Pyrus calleryana,60,83,251,177
Pyrus communis,90,57,259,171
Quercus,59,60,266,103
Quercus X saulii,85,94,260,174
Quercus alba,86,47,244,160
Quercus bicolor,96,54,231,143
Quercus chrysolepis,86,74,202,148
Quercus coccinea,104,87,252,138
Quercus douglasii,121,109,262,112
Quercus falcata,92,111,255,142
Quercus garryana var. breweri,98,63,264,183
Quercus imbricaria,108,63,228,166
Quercus kelloggii,121,97,243,130
Quercus lobata,97,70,227,134
Quercus marilandica,129,83,248,161
Quercus michauxii,131,69,211,112
Quercus muehlenbergii,98,87,253,171
Quercus palustris,117,100,240,167
Quercus phellos,120,66,267,125
Quercus prinus,142,81,244,112
Quercus rubra var. ambigua,116,42,263,128
Quercus shumardii,94,41,261,183
Quercus stellata,100,85,266,168
Quercus velutina,139,54,245,107
Quercus wislizeni var. wislizeni,114,94,250,171
Quiscalus mexicanus,92,99,297,133
Quiscalus quiscula,88,111,271,125
Racomitrium aciculare,81,19,234,146
Racomitrium heterostichum,109,91,234,154
Racomitrium microcarpon,89,108,258,165
Raillardella argentea,84,90,203,146
Raillardella scaposa,69,38,216,183
Rallus elegans,53,81,222,140
Rallus limicola,98,91,251,161
Rana catesbeiana,162,169,497,269
Rana clamitans melanota,67,55,261,151
Rana draytonii,37,43,141,69
Rana luteiventris,69,31,238,156
Rana palustris,116,119,274,168
Rana pipiens,92,62,263,136
Rana sierrae,31,11,60,42
Rana sphenocephala,88,39,256,145
Rana sylvatica,133,61,264,121
Ranunculus abortivus,95,53,272,168
Ranunculus acris,85,117,263,142
Ranunculus acris var. acris,120,46,227,146
Ranunculus alismifolius var. alismellus,83,90,251,154
Ranunculus alismifolius var. alismifolius,104,90,284,148
Ranunculus alismifolius var. davisii,71,91,253,125
Ranunculus alismifolius var. hartwegii,95,100,239,150
Ranunculus allegheniensis,137,65,233,156
Ranunculus bulbosus,96,70,266,142
Ranunculus californicus,79,127,292,169
Ranunculus cymbalaria var. cymbalaria,69,52,261,147
Ranunculus cymbalaria var. saximontanus,113,71,227,162
Ranunculus eschscholtzii var. eschscholtzii,82,90,268,129
Ranunculus eschscholtzii var. eximius,106,109,256,183
Ranunculus eschscholtzii var. oxynotus,124,68,263,158
Ranunculus eschscholtzii var. trisectus,93,67,228,145
Ranunculus fascicularis,88,84,258,173
Ranunculus flammula,106,97,240,133
Ranunculus flammula var. reptans,91,52,215,168
Ranunculus glaberrimus var. ellipticus,119,79,261,158
Ranunculus gmelinii,96,77,243,174
Ranunculus harveyi,62,39,241,181
Ranunculus hebecarpus,108,80,270,168
Ranunculus hispidus,78,113,222,140
Ranunculus hispidus var. hispidus,104,92,216,171
Ranunculus hispidus var. nitidus,84,60,265,137
Ranunculus hyperboreus,92,74,239,141
Ranunculus inamoenus var. inamoenus,105,81,228,155
Ranunculus jovis,93,44,263,177
Ranunculus laxicaulis,92,110,227,160
Ranunculus macounii,115,96,225,139
Ranunculus muricatus,125,34,257,128
Ranunculus occidentalis,74,69,252,135
Ranunculus orthorhynchus var. orthorhynchus,104,48,240,153
Ranunculus parviflorus,80,55,249,146
Ranunculus pusillus,108,82,253,156
Ranunculus recurvatus,123,63,251,144
Ranunculus repens,131,165,476,282
Ranunculus sardous,106,64,222,139
Ranunculus sceleratus var. multifidus,93,70,252,148
Ranunculus testiculatus,97,92,256,162
Ranunculus uncinatus,111,74,248,137
Raphanus raphanistrum,93,57,270,143
Raphanus sativus,94,83,275,145
Ratibida columnifera,117,58,251,136
Ratibida pinnata,113,101,278,156
Rattus norvegicus,81,77,244,145
Rattus rattus,85,77,239,121
Rauiella scita,84,91,258,154
Recurvirostra americana,94,59,252,130
Regina septemvittata,87,53,210,125
Regulus calendula,109,52,260,141
Regulus satrapa,117,81,238,134
Reithrodontomys humulis,106,34,222,147
Reithrodontomys megalotis,121,79,270,158
Rhabdoweisia crispata,75,79,231,187
Rhamnus alnifolia,117,23,258,134
Rhamnus ilicifolia,91,111,261,146
Rhamnus rubra,92,88,248,168
Rhexia mariana,83,59,256,155
Rhexia mariana var. mariana,85,87,230,183
Rhexia virginica,113,51,248,166
Rhinichthys cataractae,105,68,232,165
Rhinichthys obtusus,106,73,265,146
Rhinichthys osculus,112,62,210,125
Rhizomnium appalachianum,81,54,250,162
Rhizomnium magnifolium,116,37,224,187
Rhizomnium punctatum,80,76,261,164
Rhodobryum ontariense,112,70,246,125
Rhodobryum roseum,84,90,219,151
Rhododendron,98,85,266,166
Rhododendron X bakeri,121,87,276,181
Rhododendron arborescens,69,53,243,118
Rhododendron calendulaceum,89,110,264,94
Rhododendron canescens,82,111,241,165
Rhododendron carolinianum,83,41,263,148
Rhododendron catawbiense,122,95,245,168
Rhododendron cumberlandense,101,111,215,127
Rhododendron maximum,100,88,238,148
Rhododendron minus,102,56,245,173
Rhododendron occidentale,122,78,249,171
Rhododendron periclymenoides,70,91,251,123
Rhododendron prinophyllum,87,72,260,142
Rhododendron vaseyi,98,102,255,106
Rhododendron viscosum,91,72,267,153
Rhus aromatica,124,81,272,116
Rhus aromatica var. trilobata,143,85,208,164
Rhus copallina,109,70,233,124
Rhus copallinum,98,56,266,152
Rhus copallinum var. copallinum,121,71,239,172
Rhus copallinum var. latifolia,109,79,226,147
Rhus glabra,70,63,238,118
Rhus hirta,72,103,222,153
Rhus trilobata,95,65,243,170
Rhus typhina,101,86,270,117
Rhynchosia tomentosa,92,37,278,160
Rhynchospora alba,88,101,254,145
Rhynchospora capitellata,119,64,233,147
Rhynchospora glomerata,104,95,269,121
Rhynchospora gracilenta,102,70,255,160
Rhytidiadelphus squarrosus,132,50,263,142
Rhytidiadelphus triquetrus,87,70,231,128
Ribes amarum,106,47,261,147
Ribes aureum var. aureum,122,84,246,139
Ribes aureum var. villosum,97,93,241,170
Ribes cereum var. cereum,40,115,269,160
Ribes cereum var. pedicellare,82,45,292,179
Ribes cynosbati,64,59,237,136
Ribes glandulosum,83,103,287,174
Ribes hudsonianum,85,43,219,163
Ribes inerme var. inerme,112,80,285,155
Ribes lacustre,76,71,229,175
Ribes lasianthum,118,80,261,140
Ribes montigenum,99,111,256,191
Ribes nevadense,116,105,278,131
Ribes oxyacanthoides var. setosum,133,87,227,135
Ribes roezlii var. roezlii,94,68,257,155
Ribes rotundifolium,90,54,237,147
Ribes rubrum,100,86,259,173
Ribes viscosissimum,108,101,253,158
Ribes viscosissimum var. viscosissimum,138,95,251,174
Richardsonius balteatus,125,91,239,163
Ricinus communis,100,58,247,162
Rigiopappus leptocladus,101,57,266,166
Riparia riparia,179,168,425,270
Rissa tridactyla,100,93,294,133
Robinia hispida var. hispida,119,37,270,145
Robinia hispida var. kelseyi,136,96,265,132
Robinia hispida var. rosea,86,52,277,178
Robinia pseudoacacia,122,48,216,143
Robinia viscosa,92,64,249,133
Robinia viscosa var. hartwegii,140,47,231,175
Romneya coulteri,101,67,215,125
Rorippa curvipes var. curvipes,124,115,271,158
Rorippa curvisiliqua,61,90,223,147
Rorippa islandica,44,102,251,150
Rorippa nasturtium-aquaticum,173,150,471,306
Rorippa palustris,133,15,257,156
Rorippa palustris ssp. fernaldiana,180,123,544,286
Rorippa palustris ssp. palustris,77,44,240,128
Rosa arkansana,115,56,277,167
Rosa bridgesii,84,53,280,131
Rosa californica,85,83,285,171
Rosa canina,136,101,250,122
Rosa carolina,116,62,266,152
Rosa centifolia,99,86,263,138
Rosa eglanteria,206,129,533,299
Rosa gymnocarpa,122,77,257,180
Rosa micrantha,128,60,252,156
Rosa multiflora,95,105,276,157
Rosa palustris,103,105,251,163
Rosa pinetorum,96,73,252,129
Rosa setigera,137,86,258,135
Rosa wichuraiana,77,63,222,170
Rosa woodsii,99,77,225,165
Rosa woodsii var. ultramontana,65,111,244,120
Rotala ramosior,248,86,513,282
Rubus allegheniensis,63,47,251,133
Rubus alumnus,91,62,253,156
Rubus argutus,103,92,262,156
Rubus baileyanus,95,110,224,145
Rubus canadensis,124,87,225,157
Rubus discolor,89,66,225,176
Rubus flagellaris,96,82,273,188
Rubus frondosus,88,54,230,134
Rubus glaucifolius,133,69,240,160
Rubus hispidus,91,103,278,157
Rubus idaeus ssp. strigosus,45,99,245,150
Rubus laciniatus,85,42,242,156
Rubus leucodermis,113,62,247,112
Rubus occidentalis,105,77,255,168
Rubus odoratus,76,117,240,169
Rubus parviflorus,71,90,241,162
Rubus parviflorus var. parviflorus,114,42,277,144
Rubus phoenicolasius,126,95,232,124
Rubus suus,110,76,259,145
Rubus trivialis,111,49,261,174
Rubus trux,125,81,284,135
Rubus ursinus,111,118,234,157
Rudbeckia californica var. californica,111,64,254,184
Rudbeckia fulgida,89,79,264,138
Rudbeckia fulgida var. fulgida,95,86,261,151
Rudbeckia fulgida var. umbrosa,97,104,217,160
Rudbeckia hirta,82,49,239,145
Rudbeckia hirta var. hirta,67,60,233,190
Rudbeckia hirta var. pulcherrima,224,134,458,276
Rudbeckia laciniata var. digitata,77,79,255,177
Rudbeckia laciniata var. humilis,102,69,233,152
Rudbeckia laciniata var. laciniata,78,81,247,142
Rudbeckia occidentalis,100,85,246,174
Rudbeckia triloba,95,67,245,144
Ruellia caroliniensis ssp. caroliniensis var. caroliniensis,85,59,248,159
Ruellia caroliniensis ssp. ciliosa var. cinerascens,72,81,218,196
Ruellia humilis,91,43,247,145
Ruellia strepens,97,73,242,128
Rugelia nudicaulis,93,58,186,120
Rumex acetosella,156,200,494,323
Rumex aquaticus var. fenestratus,141,101,248,143
Rumex conglomeratus,94,48,246,156
Rumex crispus,186,165,511,350
Rumex obtusifolius,133,27,258,153
Rumex patientia,83,77,249,144
Rumex paucifolius,105,86,255,120
Rumex pulcher,99,67,248,161
Rumex salicifolius var. denticulatus,99,43,240,148
Rumex venosus,117,49,245,145
Ruppia cirrhosa,98,64,242,153
Sabatia angularis,95,73,268,158
Sabatia campanulata,85,82,267,169
Saccharum alopecuroidum,84,111,247,145
Saccharum giganteum,76,82,280,156
Sagina apetala,73,86,250,169
Sagina decumbens,149,67,260,120
Sagina decumbens ssp. occidentalis,111,54,243,152
Sagina saginoides,109,96,216,97
Sagittaria australis,124,52,262,172
Sagittaria cuneata,113,114,246,166
Sagittaria latifolia,129,45,251,136
Sagittaria latifolia var. pubescens,127,86,267,117
Salix X pendulina,111,103,250,160
Salix alba,80,60,261,122
Salix arctica,102,84,240,139
Salix babylonica,108,86,245,204
Salix barclayi,95,60,266,156
Salix bebbiana,86,49,274,159
Salix boothii,89,95,269,107
Salix brachycarpa,91,74,247,169
Salix brachycarpa ssp. brachycarpa,103,93,283,213
Salix candida,86,57,242,157
Salix caprea,114,36,231,127
Salix caroliniana,113,53,263,141
Salix cascadensis,98,83,220,143
Salix discolor,65,117,251,154
Salix drummondiana,115,62,258,150
Salix eastwoodiae,82,52,221,172
Salix eriocephala,74,91,220,155
Salix exigua,188,116,488,372
Salix farriae,108,64,266,157
Salix fragilis,122,54,249,159
Salix geyeriana,71,57,266,158
Salix humilis,110,76,251,118
Salix humilis var. humilis,78,64,218,123
Salix humilis var. tristis,109,80,241,161
Salix jepsonii,96,53,229,191
Salix laevigata,139,96,265,156
Salix lasiandra var. caudata,124,93,253,160
Salix lasiolepis,109,80,280,171
Salix lemmonii,95,68,269,128
Salix ligulifolia,84,86,250,158
Salix lucida ssp. lasiandra,100,75,227,128
Salix lutea,102,87,248,137
Salix melanopsis,109,93,247,137
Salix nigra,60,110,261,159
Salix orestera,61,76,250,136
Salix planifolia,104,75,239,193
Salix planifolia ssp. planifolia,111,79,242,119
Salix prolixa,133,70,204,145
Salix pseudomonticola,77,58,204,167
Salix reticulata ssp. nivalis,101,110,240,136
Salix rotundifolia var. dodgeana,116,111,252,131
Salix scouleriana,112,38,227,118
Salix sericea,82,94,263,171
Salix tweedyi,114,66,223,129
Salix wolfii var. idahoensis,88,60,214,150
Salmo trutta,144,65,238,150
Salpinctes obsoletus,129,52,260,188
Salsola collina,111,65,224,143
Salsola tragus,110,50,241,169
Salvelinus fontinalis,236,176,513,345
Salvelinus namaycush,76,86,270,166
Salvia columbariae,111,65,277,146
Salvia lyrata,97,87,249,147
Salvia nemorosa,88,96,245,128
Salvia urticifolia,130,81,261,178
Sambucus canadensis,104,62,274,182
Sambucus mexicana,127,12,232,141
Sambucus nigra ssp. canadensis,91,70,263,144
Sambucus racemosa,142,107,244,142
Sambucus racemosa var. melanocarpa,62,73,200,163
Sambucus racemosa var. microbotrys,109,34,244,171
Sambucus racemosa var. pubens,78,91,262,146
Sambucus racemosa var. racemosa,142,77,255,178
Samolus valerandi ssp. parviflorus,124,51,256,191
Sanguinaria canadensis,68,82,291,149
Sanguisorba annua,81,82,237,158
Sanicula bipinnatifida,105,74,256,117
Sanicula canadensis,92,43,232,144
Sanicula graveolens,97,59,257,175
Sanicula marilandica,228,169,523,277
Sanicula odorata,86,80,294,183
Sanicula smallii,126,105,259,153
Sanicula trifoliata,97,122,277,155
Sanicula tuberosa,94,74,263,135
Saponaria officinalis,175,164,502,236
Sarcobatus vermiculatus,124,60,233,167
Sarcodes sanguinea,132,95,277,133
Sarracenia purpurea,43,69,235,166
Sasa palmata,95,101,210,150
Sassafras albidum,106,50,251,159
Satureja douglasii,100,49,288,131
Saxifraga aprica,101,103,251,171
Saxifraga bryophora,106,34,269,194
Saxifraga californica,105,81,263,117
Saxifraga careyana,94,78,218,176
Saxifraga caroliniana,96,75,230,99
Saxifraga cernua,67,27,253,167
Saxifraga cespitosa,107,51,226,122
Saxifraga mertensiana,120,56,266,161
Saxifraga michauxii,102,58,259,160
Saxifraga micranthidifolia,117,73,273,161
Saxifraga nidifica,92,53,239,153
Saxifraga nidifica var. nidifica,115,81,247,138
Saxifraga occidentalis,108,92,265,179
Saxifraga odontoloma,143,78,271,116
Saxifraga oppositifolia,89,65,269,173
Saxifraga oregana,93,67,252,187
Saxifraga rhomboidea,121,83,244,154
Saxifraga rivularis,97,95,201,170
Saxifraga subapetala,110,83,265,153
Saxifraga tolmiei,82,89,254,146
Saxifraga virginiensis var. virginiensis,90,55,240,126
Sayornis nigricans,129,35,246,128
Sayornis phoebe,110,69,275,149
Sayornis saya,71,80,224,147
Scalopus aquaticus,122,81,227,179
Scapanus latimanus,95,82,244,105
Scaphiopus holbrookii holbrookii,104,86,236,177
Sceloporus graciosus,84,77,232,106
Sceloporus graciosus graciosus,81,80,240,137
Sceloporus occidentalis,77,71,236,134
Sceloporus undulatus hyacinthinus,127,18,259,84
Schedonnardus paniculatus,120,76,265,140
Scheuchzeria palustris,115,46,269,109
Schistidium agassizii,81,76,269,148
Schistidium apocarpum,96,67,263,131
Schistidium rivulare,111,83,273,178
Schizachne purpurascens,104,108,267,191
Schizachyrium scoparium var. scoparium,65,71,258,108
Schlotheimia rugifolia,105,34,250,133
Schoenocrambe linifolia,157,102,242,140
Schoenoplectus acutus var. occidentalis,115,68,273,116
Schoenoplectus americanus,128,70,275,124
Schoenoplectus purshianus,59,54,237,147
Schoenoplectus subterminalis,133,74,209,142
Schoenoplectus tabernaemontani,116,66,312,151
Schwetschkeopsis fabronia,103,91,253,133
Scincella lateralis,109,37,247,141
Scirpus atrovirens,120,49,246,155
Scirpus cernuus,75,101,251,141
Scirpus congdonii,84,69,294,138
Scirpus cyperinus,171,150,506,337
Scirpus diffusus,100,60,231,119
Scirpus expansus,72,125,203,144
Scirpus lineatus,94,79,238,128
Scirpus microcarpus,95,93,223,182
Scirpus pendulus,101,91,236,122
Scirpus polyphyllus,69,56,221,164
Scirpus purshianus,101,78,234,140
Scirpus tabernaemontani,105,63,240,163
Sciurus carolinensis,69,77,245,162
Sciurus griseus,84,71,249,106
Sciurus niger,94,94,254,130
Scleranthus annuus,99,70,251,165
Scleria oligantha,121,70,257,151
Scleria pauciflora,127,81,233,162
Scleria triglomerata,90,101,239,101
Sclerolinon digynum,116,73,240,164
Scolochloa festucacea,97,64,279,155
Scolopax minor,106,60,264,167
Scopelophila ligulata,90,56,239,139
Scribneria bolanderi,95,71,245,164
Scrophularia californica ssp. floribunda,93,81,244,166
Scrophularia desertorum,52,72,249,160
Scrophularia lanceolata,96,57,258,121
Scrophularia marilandica,89,54,270,132
Scutellaria bolanderi ssp. bolanderi,98,85,240,125
Scutellaria elliptica,52,57,241,162
Scutellaria elliptica var. elliptica,98,80,221,178
Scutellaria elliptica var. hirsuta,114,114,267,119
Scutellaria galericulata,65,67,263,160
Scutellaria incana,73,62,254,153
Scutellaria incana var. incana,90,64,254,144
Scutellaria incana var. punctata,77,61,286,195
Scutellaria integrifolia,77,63,216,154
Scutellaria lateriflora,116,76,241,168
Scutellaria ovata,100,89,210,126
Scutellaria saxatilis,104,72,240,146
Scutellaria serrata,54,94,246,169
Scutellaria siphocampyloides,102,76,252,159
Scutellaria tuberosa,97,82,272,169
Secale cereale,198,158,490,305
Sedum acre,115,74,256,125
Sedum integrifolium,79,95,225,135
Sedum lanceolatum,108,51,256,159
Sedum obtusatum ssp. obtusatum,105,82,268,171
Sedum pulchellum,109,59,236,184
Sedum radiatum,79,76,234,149
Sedum rhodanthum,110,58,213,143
Sedum sarmentosum,142,56,238,164
Sedum spathulifolium,119,53,251,139
Sedum spectabile,108,75,289,115
Sedum stenopetalum,119,66,274,157
Sedum telephium,103,62,259,150
Sedum ternatum,111,85,250,144
Seiurus aurocapilla,86,13,216,136
Seiurus aurocapillus,131,74,270,162
Seiurus motacilla,64,54,263,142
Seiurus noveboracensis,118,83,292,152
Selaginella apoda,119,67,245,109
Selaginella densa var. densa,103,38,288,141
Selaginella densa var. scopulorum,106,45,234,151
Selaginella hansenii,97,57,251,173
Selaginella rupestris,108,99,218,191
Selaginella selaginoides,93,91,259,146
Selaginella watsonii,123,70,239,138
Selasphorus calliope,83,69,238,160
Selasphorus platycercus,102,75,261,160
Selasphorus rufus,106,86,212,133
Selasphorus sasin,73,42,261,160
Seligeria recurvata,87,80,228,138
Sematophyllum adnatum,100,67,214,141
Sematophyllum demissum,109,66,261,147
Sematophyllum marylandicum,102,92,226,166
Semotilus atromaculatus,94,73,255,153
Senecio anonymus,125,84,211,153
Senecio aronicoides,105,118,237,161
Senecio aureus,95,64,235,153
Senecio canus,69,92,277,161
Senecio clarkianus,70,53,235,157
Senecio crassulus,86,77,287,150
Senecio flaccidus var. douglasii,95,72,241,154
Senecio fremontii var. fremontii,105,45,247,114
Senecio fremontii var. occidentalis,119,79,219,157
Senecio hydrophilus,104,112,261,112
Senecio integerrimus var. exaltatus,97,64,244,122
Senecio integerrimus var. major,106,74,237,135
Senecio jacobaea,84,74,248,163
Senecio lugens,77,82,269,114
Senecio obovatus,120,71,240,115
Senecio pauciflorus,106,72,212,144
Senecio pseudaureus var. pseudaureus,111,55,236,144
Senecio scorzonella,83,56,248,126
Senecio serra var. serra,89,87,260,151
Senecio sphaerocephalus,100,95,253,179
Senecio streptanthifolius,119,69,239,135
Senecio triangularis,117,49,234,171
Senecio vulgaris,129,63,282,107
Senecio werneriifolius,107,79,268,159
Senna hebecarpa,113,43,239,156
Senna marilandica,84,68,248,138
Senna obtusifolia,128,61,260,142
Sequoiadendron giganteum,121,70,241,141
Sericocarpus asteroides,80,85,213,158
Sericocarpus linifolius,145,66,260,133
Setaria faberi,80,78,216,124
Setaria italica,91,64,246,127
Setaria parviflora,88,61,268,138
Setaria pumila,173,163,479,301
Setaria viridis,194,203,508,290
Setaria viridis var. major,95,109,240,135
Setaria viridis var. viridis,101,76,253,152
Setophaga americana,120,60,224,161
Setophaga castanea,91,76,250,157
Setophaga cerulea,108,47,246,116
Setophaga citrina,87,86,232,149
Setophaga coronata,120,80,298,161
Setophaga coronata auduboni,99,103,205,174
Setophaga coronata coronata,124,56,240,131
Setophaga discolor,97,103,260,136
Setophaga dominica,81,47,257,140
Setophaga fusca,81,73,258,151
Setophaga magnolia,99,105,240,167
Setophaga nigrescens,129,78,248,169
Setophaga occidentalis,83,42,258,154
Setophaga palmarum,92,53,236,131
Setophaga pensylvanica,102,95,279,191
Setophaga petechia,134,82,245,166
Setophaga ruticilla,124,85,275,133
Setophaga striata,92,67,244,151
Setophaga tigrina,122,59,254,137
Setophaga townsendi,79,58,251,137
Shepherdia canadensis,66,71,251,157
Sherardia arvensis,81,78,293,183
Shortia galacifolia,111,73,214,147
Sialia currucoides,78,71,240,133
Sialia mexicana,94,61,252,122
Sialia sialis,128,69,287,190
Sibara virginica,76,32,266,142
Sibbaldia procumbens,112,104,231,130
Sibbaldiopsis tridentata,115,80,269,158
Sicyos angulatus,112,73,256,154
Sida hermaphrodita,104,65,261,142
Sida spinosa,84,41,275,153
Sidalcea glaucescens,66,67,231,156
Sidalcea malviflora ssp. asprella,89,72,232,133
Sidalcea reptans,113,63,251,189
Silene acaulis var. subacaulescens,138,60,251,139
Silene antirrhina,221,127,530,303
Silene armeria,122,92,223,170
Silene bernardina,118,95,247,150
Silene bridgesii,95,41,227,168
Silene californica,116,67,229,154
Silene dichotoma,139,84,274,126
Silene drummondii var. drummondii,85,59,237,159
Silene gallica,80,65,237,135
Silene hitchguirei,90,72,252,149
Silene latifolia,115,90,267,125
Silene latifolia ssp. alba,212,112,531,329
Silene lemmonii,121,81,271,146
Silene menziesii,108,67,264,130
Silene menziesii var. menziesii,89,42,261,135
Silene menziesii var. viscosa,84,92,240,141
Silene noctiflora,112,79,265,135
Silene oregana,123,69,224,145
Silene ovata,100,42,211,110
Silene parryi,114,68,252,149
Silene rotundifolia,110,77,244,133
Silene sargentii,107,120,220,160
Silene stellata,98,64,261,135
Silene virginica,89,66,243,159
Silene vulgaris,213,69,474,349
Silphium asteriscus,89,63,243,148
Silphium asteriscus var. asteriscus,116,67,231,142
Silphium asteriscus var. laevicaule,97,71,256,155
Silphium compositum,122,104,252,90
Silphium trifoliatum var. trifoliatum,98,74,257,156
Sinapis arvensis,91,85,218,130
Sisymbrium altissimum,118,62,283,192
Sisymbrium loeselii,108,73,227,159
Sisymbrium officinale,231,162,550,285
Sisyrinchium albidum,118,91,261,149
Sisyrinchium angustifolium,117,110,224,158
Sisyrinchium atlanticum,72,88,253,149
Sisyrinchium bellum,127,119,230,212
Sisyrinchium elmeri,80,90,244,193
Sisyrinchium idahoense var. idahoense,105,108,229,186
Sisyrinchium idahoense var. occidentale,84,76,276,118
Sisyrinchium montanum,88,57,252,137
Sisyrinchium mucronatum,93,52,274,153
Sitta canadensis,78,41,257,133
Sitta carolinensis,73,66,267,146
Sitta pygmaea,105,63,256,157
Sium suave,117,40,211,154
Smallanthus uvedalius,91,55,231,131
Smelowskia calycina var. americana,81,91,262,152
Smilax biltmoreana,114,87,255,159
Smilax bona-nox,85,56,272,165
Smilax glauca,82,99,246,149
Smilax herbacea,126,53,290,186
Smilax hugeri,84,63,264,125
Smilax pulverulenta,118,78,242,114
Smilax rotundifolia,130,38,267,162
Smilax tamnoides,130,78,228,132
Solanum americanum,106,64,267,134
Solanum carolinense,64,68,235,129
Solanum dulcamara,92,50,277,177
Solanum lycopersicum var. lycopersicum,94,77,251,142
Solanum parishii,99,97,216,162
Solanum ptychanthum,92,89,243,132
Solanum triflorum,98,26,246,133
Solanum xanti,69,80,276,150
Solidago,128,102,254,110
Solidago altissima,51,69,207,139
Solidago arguta,102,69,260,175
Solidago arguta var. arguta,92,82,240,123
Solidago arguta var. caroliniana,133,60,302,129
Solidago bicolor,95,77,256,160
Solidago caesia,117,76,260,110
Solidago californica,118,89,255,139
Solidago canadensis var. salebrosa,130,80,227,113
Solidago canadensis var. scabra,115,58,234,141
Solidago curtisii,109,83,243,136
Solidago erecta,105,86,218,155
Solidago flaccidifolia,119,74,264,148
Solidago flexicaulis,81,46,256,135
Solidago gigantea,228,127,514,270
Solidago glomerata,114,66,262,167
Solidago hispida,117,59,232,162
Solidago juncea,106,46,249,128
Solidago missouriensis var. missouriensis,112,101,244,122
Solidago multiradiata,104,69,242,131
Solidago multiradiata var. scopulorum,96,97,251,147
Solidago nana,88,99,255,136
Solidago nemoralis var. nemoralis,113,60,215,169
Solidago odora,72,90,245,167
Solidago patula,136,94,233,139
Solidago puberula,63,64,267,168
Solidago roanensis,90,93,254,197
Solidago rugosa ssp. aspera,84,90,248,149
Solidago speciosa var. erecta,75,89,245,146
Solidago speciosa var. rigidiuscula,101,51,293,119
Solidago speciosa var. speciosa,142,96,240,119
Solidago sphacelata,71,66,283,133
Solidago uliginosa,68,83,272,168
Soliva sessilis,167,122,491,284
Sonchus arvensis,127,86,243,158
Sonchus arvensis ssp. uliginosus,121,115,262,123
Sonchus asper,227,173,507,310
Sonchus asper ssp. asper,124,147,215,117
Sonchus oleraceus,99,63,225,174
Sorbus americana,127,72,264,151
Sorbus aucuparia,127,89,268,170
Sorbus californica,81,67,261,167
Sorbus scopulina var. scopulina,100,61,223,156
Sorbus sitchensis var. grayi,96,95,272,153
Sorex cinereus,234,132,529,243
Sorex dispar,123,100,285,157
Sorex fumeus,101,101,266,133
